# Zini Age Mini  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00800 2.51e+07 0.5000000000    0.500 -1.173  3.5457  4.445    0  0.000  0.545     0.00     0.00 -1  7.23e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 7.703 12.222 10.738 9.178 8.153 7.072 5.976 5.401 5.160
0.00800 2.51e+07 0.5088481307    0.509 -1.161  3.5474  4.447    0  0.000  0.545     0.00     0.00 -1  7.36e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 7.672 12.160 10.683 9.128 8.107 7.039 5.949 5.373 5.133
0.00800 2.51e+07 0.5421327949    0.542 -1.108  3.5536  4.447    0  0.000  0.545     0.00     0.00 -1  8.05e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 7.541 11.914 10.461 8.927 7.923 6.897 5.833 5.254 5.018
0.00800 2.51e+07 0.5500000119    0.550 -1.094  3.5551  4.445    0  0.000  0.545     0.00     0.00 -1  8.26e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 7.506 11.852 10.404 8.875 7.876 6.860 5.802 5.223 4.987
0.00800 2.51e+07 0.5762968659    0.576 -1.051  3.5612  4.447    0  0.000  0.545     0.00     0.00 -1   8.9e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 7.398 11.645 10.218 8.707 7.722 6.745 5.711 5.128 4.897
0.00800 2.51e+07 0.6000000238    0.600 -1.009  3.5670  4.445    0  0.000  0.545     0.00     0.00 -1  9.63e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 7.293 11.448 10.039 8.546 7.575 6.635 5.622 5.036 4.809
0.00800 2.51e+07 0.6426466703    0.643 -0.928  3.5799  4.446    0  0.000  0.545     0.00     0.00 -1  1.12e-14      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 7.090 11.048 9.752 8.317 7.353 6.418 5.406 4.829 4.619
0.00800 2.51e+07 0.6499999762    0.650 -0.913  3.5823  4.445    0  0.000  0.545     0.00     0.00 -1  1.15e-14      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 7.052 10.972 9.702 8.279 7.315 6.376 5.361 4.787 4.582
0.00800 2.51e+07 0.6667646766    0.667 -0.878  3.5886  4.446    0  0.000  0.545     0.00     0.00 -1  1.23e-14      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 6.965 10.656 9.468 8.099 7.170 6.291 5.300 4.691 4.512
0.00800 2.51e+07 0.6836131811    0.684 -0.834  3.5965  4.445    0  0.000  0.545     0.00     0.00 -1  1.34e-14      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 6.854 10.196 9.119 7.827 6.959 6.187 5.240 4.566 4.429
0.00800 2.51e+07 0.7000000477    0.700 -0.788  3.6050  4.444    0  0.000  0.545     0.00     0.00 -1  1.47e-14      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 6.741 9.925 8.886 7.630 6.796 6.079 5.158 4.464 4.341
0.00800 2.51e+07 0.7349572182    0.735 -0.666  3.6427  4.493    0  0.000  0.540     0.00     0.00 -1  1.79e-14      0.00 7.290e-01 2.630e-01 1.425e-03 3.877e-04 3.520e-03 -1.000 8.000e-03 6.436 9.035 8.153 7.041 6.338 5.770 4.961 4.284 4.191
